Component,Ag,Al,B,Ba,Bi,C,Ca,Fe,Hf,Ho,K,Li,Mn,Na,Nb,O,Pr,Sb,Sc,Sr,Ta,Ti,Zn,Zr,Avg_AtomicMass,Avg_AtomicRadius,Avg_Electronegativity,Avg_Valence,d33 (pC/N)
0.96K0.48Na0.52Nb0.96Sb0.04O3-0.04Bi0.525Na0.5ZrO3 ,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.4608,0.0,0.0,0.5192,0.9216,3.0,0.0,0.0384,0.0,0.0,0.0,0.0,0.0,0.04,35.251451309738044,106.1344531093781,2.5654093181363726,4.808038392321535,522.0
0.954K0.48Na0.52NbO3–0.006BiFeO3–0.04Bi0.5Na0.5ZrO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45791999999999994,0.0,0.0,0.49608,0.954,2.862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32656,106.336,2.5594400000000004,4.800000000000001,428.0
(K0.5Na0.5)0.97Ag0.03NbO3 ,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.485,0.0,0.0,0.485,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.85195,106.125,2.5653300000000003,4.8,149.0
0.95K0.45Na0.55NbO3-0.05Bi0.5Na0.5HfO3,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.05,0.0,0.4275,0.0,0.0,0.5475,0.95,2.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.943155000000004,105.88550000000002,2.5630450000000002,4.8100000000000005,385.0
0.958K0.40Na0.60NbO3-0.012BiScO3-0.03Bi0.5(Na0.6K0.3Li0.1)0.5HfO3,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.03,0.0,0.3877,0.0015,0.0,0.5838,0.958,2.9999999999999996,0.0,0.0,0.012,0.0,0.0,0.0,0.0,0.0,35.42710040000001,105.52334,2.5649956,4.8108,362.0
0.99(K0.48Na0.52)(Nb0.97Sb0.03)O3 - 0.01(Bi0.5Zn0.25)ZrO3 ,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.47519999999999996,0.0,0.0,0.5148,0.9602999999999999,2.9999999999999996,0.0,0.029699999999999997,0.0,0.0,0.0,0.0,0.0025,0.01,34.692119459729874,106.19309654827416,2.5639455727863933,4.804402201100549,308.0
K0.622Na0.378NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.622,0.0,0.0,0.378,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.78408399999999,107.50039999999998,2.556316,4.8,161.0
0.948(K0.5Na0.5)NbO3–0.052LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.0,0.0,0.474,0.948,2.844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.49999999999999,2.5589999999999997,4.800000000000001,265.0
0.96K0.48Na0.52NbO3-0.03Bi0.5(Na0.7K0.2Li0.1)0.5ZrO3-0.01B0.5Na0.5TiO3,0.0,0.0,0.005,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.4638,0.0015,0.0,0.5146999999999999,0.96,2.9999999999999996,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,34.715118600000004,106.08496000000002,2.5624514,4.806,285.0
0.88K0.5Na0.5NbO3-0.05CaZrO3-0.07LiNbO3 ,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.44,0.07,0.0,0.44,0.95,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,34.12698,105.782,2.55902,4.8,216.0
0.96K0.5Na0.5NbO3-0.04CaZrO3,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.48,0.0,0.0,0.48,0.96,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,34.44976,106.53599999999999,2.55784,4.8,154.0
0.95(K0.42Na0.58)NbO3-0.05LiSbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39899999999999997,0.05,0.0,0.5509999999999999,0.95,2.9999999999999996,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,34.193578,105.2718,2.566222,4.8,270.0
Na0.5K0.5NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.391,106.5,2.559,4.8,148.0
KNbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.001999999999995,110.6,2.548,4.8,74.0
Li0.02K0.98NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98,0.02,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.873360000000005,110.3,2.54864,4.8,82.0
Li0.04K0.96NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.96,0.04,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.74472,110.0,2.5492800000000004,4.8,81.0
Li0.06K0.94NbO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94,0.06,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.61608,109.7,2.54992,4.8,40.0
0.96K0.46Na0.54Nb0.95Sb0.05O3-0.04Bi0.5(Na0.82K0.18)0.5ZrO3,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.4452,0.0,0.0,0.5347999999999999,0.9119999999999999,3.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.04,35.22183439999999,105.98504,2.5667256000000003,4.808,465.0
(K0.44Na0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.04,0.0,0.52,0.86,3.0,0.0,0.04,0.0,0.0,0.1,0.0,0.0,0.0,36.060880000000004,105.68800000000003,2.5623200000000006,4.800000000000001,416.0
(K0.44Na0.52Li0.04)(Nb0.84Ta0.1Sb0.06)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.04,0.0,0.52,0.84,3.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.0,36.176280000000006,105.66400000000003,2.5641200000000004,4.800000000000001,345.0
(K0.45Na0.55)0.98Li0.02(Nb0.77Ta0.18Sb0.05)O3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441,0.02,0.0,0.539,0.77,3.0,0.0,0.05,0.0,0.0,0.18,0.0,0.0,0.0,37.59464200000001,105.82020000000001,2.561398,4.800000000000001,413.0
(K0.52Na0.40)(Nb0.83Sb0.09)O3–0.08LiTaO3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.4,0.83,3.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,34.215227272727276,104.5909090909091,2.609690082644628,4.859504132231405,400.0
